Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI
27.75,9.35,7.95,2.35,7250.0,0.9242589015233319,8.740496729931813,9.581972891547895,5.568344503761097,53.37336961
24.25,8.2,8.3,2.65,1000.0,0.5247285289349821,6.957497370876951,7.601402334583733,6.018593214496234,81.94219374
24.4,7.55,8.35,3.6,8750.0,0.7275486072772778,9.105090961257085,9.770013301136158,6.066108090103747,87.18002609
24.25,7.85,5.35,3.35,5500.0,0.6652619770704097,8.77971129020447,9.305741456739435,6.052089168924417,85.51040771
25.75,8.6,8.25,2.5,1125.0,0.16551443847757338,7.00397413672268,7.719129840906732,6.0844994130751715,87.4489261
25.75,7.2,8.3,3.8,15000.0,0.24294617861038947,9.741027444837728,10.308985993422082,6.133398042996649,94.26292934
26.5,7.9,8.4,3.4,6250.0,0.20701416938432615,8.987321812850125,9.433563920090563,6.104793232414985,90.30943886
24.0,7.85,8.15,3.6,4400.0,0.0,8.25608813381491,9.082620630373812,5.739792912179234,62.55775108
26.25,7.15,8.4,3.8,13000.0,0.2507587183471831,9.546884034617925,10.165890277802454,6.1366465569524795,94.10673489
26.0,8.5,8.0,2.1,40575.0,0.178146185383474,9.56282655529346,11.304066895725715,5.945420608606575,78.3341139
26.0,3.35,7.65,37.5,40087.5,1.766441661243765,10.204480639047581,11.291979497199506,8.653645314551737,1140.014968
23.0,1.75,7.65,24.0,2435.0,2.4336133554004498,7.9287663216266955,8.491054533806542,6.90875477931522,200.4888404
23.0,2.2,7.55,26.5,1537.5,2.0149030205422647,6.634633357861686,8.031385330625534,7.073693356525568,235.4424219
23.5,3.05,8.05,19.2,535.0,1.864080130807681,6.134482053942907,6.976348070447749,6.943604931875834,206.5483019
28.5,6.5,7.85,11.5,40400.0,1.1631508098056809,10.73880681223516,11.299744620670225,7.013465733404251,227.8689238
0.0,8.6,7.3,1.0,8000.0,0.18232155679395465,8.594339400592892,9.680406499268875,6.063785208687608,86.20106093
19.0,2.6,7.5,27.5,800.0,0.0,0.0,7.3783837129967145,6.363028103540465,115.9831121
25.0,5.2,7.35,4.05,0.0,0.0,0.0,0.0,5.855071922202427,69.40261109
25.0,1.6,6.65,38.0,0.0,0.0,0.0,0.0,6.115892125483034,91.2534771
21.5,4.4,7.45,8.4,0.0,0.0,0.0,0.0,5.949339620807311,76.37790037
21.5,1.9,7.35,33.0,0.0,0.0,0.0,0.0,6.222576268071369,101.1540233
25.0,5.6,7.6,7.0,0.0,0.0,0.0,0.0,5.981414211254481,78.83886986
16.0,7.2,7.55,1.5,0.0,0.0,0.0,0.0,5.3981627015177525,44.01896463
25.0,4.6,7.3,7.0,0.0,0.0,0.0,0.0,6.278521424165844,105.9018852
25.0,5.5,7.6,6.8,0.0,0.0,0.0,0.0,5.990213765206329,79.52011846
21.0,5.1,7.7,7.9,0.0,0.0,0.0,0.0,5.363636832668679,42.75577385
25.0,5.0,7.55,9.4,0.0,0.0,0.0,0.0,5.934894195619588,75.35906678
24.5,3.9,7.05,14.0,0.0,0.0,0.0,0.0,6.199494460612144,98.15180602
